year,artist,most_popular
2020,NSG,57
2019,Post Malone,85
2018,Juice WRLD,84
2018,Sean Paul,84
2017,XXXTENTACION,83
2017,The Chainsmokers,83
2016,The Chainsmokers,83
2016,Travis Scott,83
2015,Twenty One Pilots,83
2015,Tame Impala,83
2014,Sam Smith,80
2014,MAGIC!,80
2014,Coldplay,80
2014,Vance Joy,80
2014,Pitbull,80
2014,Paloma Faith,80
2013,Arctic Monkeys,84
2013,Arctic Monkeys,84
2013,John Legend,84
2012,Imagine Dragons,81
2012,Macklemore & Ryan Lewis,81
2011,JAY-Z,82
2011,Coldplay,82
2011,Coldplay,82
2011,Foster The People,82
2010,Justin Bieber,81
2010,Eminem,81
2009,JAY-Z,82
2008,Kanye West,82
2007,Foo Fighters,78
2007,Sean Kingston,78
2006,My Chemical Romance,80
2005,Gorillaz,82
2005,Shakira,82
2004,Kanye West,80
2003,Britney Spears,81
2003,Linkin Park,81
2003,50 Cent,81
2002,Eminem,87
2001,Jimmy Eat World,78
2001,Nickelback,78
2000,Eminem,86
1999,Dr. Dre,82
